lection,season,day,week
Acts 1:1–8,Easter,Sunday,1
"Acts 1:12–17, 21–26",Easter,Monday,1
Acts 2:14–21,Easter,Tuesday,1
Acts 2:22–36,Easter,Wednesday,1
Acts 2:38–43,Easter,Thursday,1
Acts 3:1–8,Easter,Friday,1
Acts 3:11–16,Easter,Saturday,1
Acts 5:12–20,Easter,Sunday,2
Acts 3:19–26,Easter,Monday,2
Acts 4:1–10,Easter,Tuesday,2
Acts 4:13–22,Easter,Wednesday,2
Acts 4:23–31,Easter,Thursday,2
Acts 5:1–11,Easter,Friday,2
Acts 5:21–33,Easter,Saturday,2
Acts 6:17,Easter,Sunday,3
"Acts 6:8–7:5, 47–60",Easter,Monday,3
Acts 8:5–17,Easter,Tuesday,3
Acts 8:18–25,Easter,Wednesday,3
Acts 8:26–39,Easter,Thursday,3
Acts 8:40–9:19,Easter,Friday,3
Acts 9:19–31,Easter,Saturday,3
Acts 9:32–42,Easter,Sunday,4
Acts 10:1–16,Easter,Monday,4
Acts 10:21–33,Easter,Tuesday,4
Acts 14:6–18,Easter,Wednesday,4
Acts 10:34–43,Easter,Thursday,4
Acts 10:44–11:10,Easter,Friday,4
Acts 12:1–11,Easter,Saturday,4
"Acts 11:19–26, 29–30",Easter,Sunday,5
Acts 12:12–17,Easter,Monday,5
Acts 12:25–13:12,Easter,Tuesday,5
Acts 13:13–24,Easter,Wednesday,5
Acts 14:20–27,Easter,Thursday,5
Acts 15:5–34,Easter,Friday,5
Acts 15:35–41,Easter,Saturday,5
Acts 16:16–34,Easter,Sunday,6
Acts 17:1–15,Easter,Monday,6
Acts 17:19–28,Easter,Tuesday,6
Acts 18:22–28,Easter,Wednesday,6
Acts 1:1–12,Easter,Thursday,6
Acts 19:1–8,Easter,Friday,6
Acts 20:7–12,Easter,Saturday,6
"Acts 20:16–18, 28–36",Easter,Sunday,7
Acts 21:8–14,Easter,Monday,7
Acts 21:26–32,Easter,Tuesday,7
Acts 23:1–11,Easter,Wednesday,7
Acts 25:13–19,Easter,Thursday,7
Acts 27:1–44,Easter,Friday,7
Acts 28:1–31,Easter,Saturday,7
Acts 2:1–11,Pentecost,Sunday,0
Eph 5:9–19,Pentecost,Monday,1
"Rom 1:1–7, 13–17",Pentecost,Tuesday,1
Rom 1:18–27,Pentecost,Wednesday,1
Rom 1:28–2:9,Pentecost,Thursday,1
Rom 2:14–29,Pentecost,Friday,1
Rom 1:7–12,Pentecost,Saturday,1
Heb 11:33–12:2,Pentecost,Sunday,1
Rom 2:28–3:18,Pentecost,Monday,2
Rom 4:4–12,Pentecost,Tuesday,2
Rom 4:13–25,Pentecost,Wednesday,2
Rom 5:10–16,Pentecost,Thursday,2
Rom 5:17–6:2,Pentecost,Friday,2
Rom 3:19–26,Pentecost,Saturday,2
Rom 2:10–16,Pentecost,Sunday,2
Rom 7:1–13,Pentecost,Monday,3
Rom 7:14–8:2,Pentecost,Tuesday,3
Rom 8:1–13,Pentecost,Wednesday,3
Rom 8:22–27,Pentecost,Thursday,3
Rom 9:6–19,Pentecost,Friday,3
Rom 3:28–4:3,Pentecost,Saturday,3
Rom 5:1–10,Pentecost,Sunday,3
Rom 9:18–33,Pentecost,Monday,4
Rom 10:11–11:2,Pentecost,Tuesday,4
Rom 11:2–12,Pentecost,Wednesday,4
Rom 11:13–24,Pentecost,Thursday,4
Rom 11:25–36,Pentecost,Friday,4
Rom 6:11–17,Pentecost,Saturday,4
Rom 6:18–23,Pentecost,Sunday,4
"Rom 12:4, 5, 15–21",Pentecost,Monday,5
Rom 14:9–18,Pentecost,Tuesday,5
Rom 15:7–16,Pentecost,Wednesday,5
Rom 15:17–29,Pentecost,Thursday,5
Rom 16:1–16,Pentecost,Friday,5
Rom 8:14–21,Pentecost,Saturday,5
Rom 10:1–10,Pentecost,Sunday,5
Rom 16:17–24,Pentecost,Monday,6
1Cor 1:1–9,Pentecost,Tuesday,6
1Cor 2:9–3:8,Pentecost,Wednesday,6
1Cor 3:18–23,Pentecost,Thursday,6
1Cor 4:5–8,Pentecost,Friday,6
Rom 9:1–5,Pentecost,Saturday,6
Rom 12:6–14,Pentecost,Sunday,6
1Cor 5:9–6:11,Pentecost,Monday,7
1Cor 6:20–7:12,Pentecost,Tuesday,7
1Cor 7:12–24,Pentecost,Wednesday,7
1Cor 7:24–35,Pentecost,Thursday,7
1Cor 7:35–8:7,Pentecost,Friday,7
Rom 12:1–3,Pentecost,Saturday,7
Rom 15:1–7,Pentecost,Sunday,7
1Cor 9:13–18,Pentecost,Monday,8
1Cor 10:5–12,Pentecost,Tuesday,8
1Cor 10:12–22,Pentecost,Wednesday,8
1Cor 10:28–11:7,Pentecost,Thursday,8
1Cor 11:8–22,Pentecost,Friday,8
Rom 13:1–10,Pentecost,Saturday,8
1Cor 1:10–18,Pentecost,Sunday,8
1Cor 11:31–12:6,Pentecost,Monday,9
1Cor 12:12–26,Pentecost,Tuesday,9
1Cor 13:4–14:5,Pentecost,Wednesday,9
1Cor 14:6–19,Pentecost,Thursday,9
1Cor 14:26–40,Pentecost,Friday,9
Rom 14:6–9,Pentecost,Saturday,9
