lection,season,day,week
Acts 1:1–8,Easter,Sunday,1
"Acts 1:12–17, 21–26",Easter,Monday,1
Acts 2:14–21,Easter,Tuesday,1
Acts 2:22–36,Easter,Wednesday,1
Acts 2:38–43,Easter,Thursday,1
Acts 3:1–8,Easter,Friday,1
Acts 3:11–16,Easter,Saturday,1
Acts 5:12–20,Easter,Sunday,2
Acts 3:19–26,Easter,Monday,2
Acts 4:1–10,Easter,Tuesday,2
Acts 4:13–22,Easter,Wednesday,2
Acts 4:23–31,Easter,Thursday,2
Acts 5:1–11,Easter,Friday,2
Acts 5:21–33,Easter,Saturday,2
Acts 6:17,Easter,Sunday,3
"Acts 6:8–7:5, 47–60",Easter,Monday,3
Acts 8:5–17,Easter,Tuesday,3
Acts 8:18–25,Easter,Wednesday,3
Acts 8:26–39,Easter,Thursday,3
Acts 8:40–9:19,Easter,Friday,3
Acts 9:19–31,Easter,Saturday,3
Acts 9:32–42,Easter,Sunday,4
Acts 10:1–16,Easter,Monday,4
Acts 10:21–33,Easter,Tuesday,4
Acts 14:6–18,Easter,Wednesday,4
Acts 10:34–43,Easter,Thursday,4
Acts 10:44–11:10,Easter,Friday,4
Acts 12:1–11,Easter,Saturday,4
"Acts 11:19–26, 29–30",Easter,Sunday,5
Acts 12:12–17,Easter,Monday,5
Acts 12:25–13:12,Easter,Tuesday,5
Acts 13:13–24,Easter,Wednesday,5
Acts 14:20–27,Easter,Thursday,5
Acts 15:5–34,Easter,Friday,5
Acts 15:35–41,Easter,Saturday,5
Acts 16:16–34,Easter,Sunday,6
Acts 17:1–15,Easter,Monday,6
Acts 17:19–28,Easter,Tuesday,6
Acts 18:22–28,Easter,Wednesday,6
Acts 1:1–12,Easter,Thursday,6
Acts 19:1–8,Easter,Friday,6
Acts 20:7–12,Easter,Saturday,6
"Acts 20:16–18, 28–36",Easter,Sunday,7
Acts 21:8–14,Easter,Monday,7
Acts 21:26–32,Easter,Tuesday,7
Acts 23:1–11,Easter,Wednesday,7
Acts 25:13–19,Easter,Thursday,7
Acts 27:1–44,Easter,Friday,7
Acts 28:1–31,Easter,Saturday,7
Acts 2:1–11,Pentecost,Sunday,0
Rom 1:7–12,Pentecost,Saturday,1
Heb 11:33–12:2,Pentecost,Sunday,1
Rom 3:19–26,Pentecost,Saturday,2
Rom 2:10–16,Pentecost,Sunday,2
Rom 3:28–4:3,Pentecost,Saturday,3
Rom 5:1–10,Pentecost,Sunday,3
Rom 6:11–17,Pentecost,Saturday,4
Rom 6:18–23,Pentecost,Sunday,4
Rom 8:14–21,Pentecost,Saturday,5
Rom 10:1–10,Pentecost,Sunday,5
Rom 9:1–5,Pentecost,Saturday,6
Rom 12:6–14,Pentecost,Sunday,6
Rom 12:1–3,Pentecost,Saturday,7
Rom 15:1–7,Pentecost,Sunday,7
Rom 13:1–10,Pentecost,Saturday,8
1Cor 1:10–18,Pentecost,Sunday,8
Rom 14:6–9,Pentecost,Saturday,9
1Cor 3:9–17,Pentecost,Sunday,9
Rom 15:30–33,Pentecost,Saturday,10
1Cor 4:9–16,Pentecost,Sunday,10
1Cor 1:3–9,Pentecost,Saturday,11
1Cor 9:2–12,Pentecost,Sunday,11
1Cor 1:26–29,Pentecost,Saturday,12
1Cor 15:1–11,Pentecost,Sunday,12
1Cor 2:6–9,Pentecost,Saturday,13
1Cor 16:13–24,Pentecost,Sunday,13
1Cor 4:1–5,Pentecost,Saturday,14
2Cor 1:21–2:4,Pentecost,Sunday,14
1Cor 4:17–5:5,Pentecost,Saturday,15
2Cor 4:6–15,Pentecost,Sunday,15
1Cor 10:23–28,Pentecost,Saturday,16
2Cor 6:1–10,Pentecost,Sunday,16
1Cor 14:20–25,Pentecost,Saturday,17
2Cor 6:16–7:1,Pentecost,Sunday,17
1Cor 15:39–45,Feast of the Cross,Saturday,1
2Cor 6:16–7:1,Feast of the Cross,Sunday,1
1Cor 15:58–16:3,Feast of the Cross,Saturday,2
2Cor 11:31–12:9,Feast of the Cross,Sunday,2
2Cor 1:8–11,Feast of the Cross,Saturday,3
Gal 1:11–19,Feast of the Cross,Sunday,3
2Cor 3:12–18,Feast of the Cross,Saturday,4
Gal 2:16–20,Feast of the Cross,Sunday,4
2Cor 5:1–10,Feast of the Cross,Saturday,5
Gal 6:11–18,Feast of the Cross,Sunday,5
2Cor 8:1–5,Feast of the Cross,Saturday,6
Eph 2:4–10,Feast of the Cross,Sunday,6
2Cor 11:1–6,Feast of the Cross,Saturday,7
Eph 2:4–22,Feast of the Cross,Sunday,7
Gal 1:3–10,Feast of the Cross,Saturday,8
Eph 4:1–6,Feast of the Cross,Sunday,8
Gal 3:8–12,Feast of the Cross,Saturday,9
Eph 5:9–19,Feast of the Cross,Sunday,9
Gal 5:22–6:2,Feast of the Cross,Saturday,10
Eph 6:10–17,Feast of the Cross,Sunday,10
Eph 1:16–23,Feast of the Cross,Saturday,11
Col 1:12–18,Feast of the Cross,Sunday,11
Eph 2:11–13,Feast of the Cross,Saturday,12
Col 3:12–16,Feast of the Cross,Sunday,12
Eph 5:1–8,Feast of the Cross,Saturday,13
Col 3:12–16,Feast of the Cross,Sunday,13
