lection,season,day,week
Acts 1:1–8,Easter,Sunday,1
Acts 5:12–20,Easter,Sunday,2
Acts 6:17,Easter,Sunday,3
Acts 9:32–42,Easter,Sunday,4
"Acts 11:19–26, 29–30",Easter,Sunday,5
Acts 16:16–34,Easter,Sunday,6
"Acts 20:16–18, 28–36",Easter,Sunday,7
Acts 2:1–11,Pentecost,Sunday,0
Heb 11:33–12:2,Pentecost,Sunday,1
Rom 2:10–16,Pentecost,Sunday,2
Rom 5:1–10,Pentecost,Sunday,3
Rom 6:18–23,Pentecost,Sunday,4
Rom 10:1–10,Pentecost,Sunday,5
Rom 12:6–14,Pentecost,Sunday,6
Rom 15:1–7,Pentecost,Sunday,7
1Cor 1:10–18,Pentecost,Sunday,8
1Cor 3:9–17,Pentecost,Sunday,9
1Cor 4:9–16,Pentecost,Sunday,10
1Cor 9:2–12,Pentecost,Sunday,11
1Cor 15:1–11,Pentecost,Sunday,12
1Cor 16:13–24,Pentecost,Sunday,13
2Cor 1:21–2:4,Pentecost,Sunday,14
2Cor 4:6–15,Pentecost,Sunday,15
2Cor 6:1–10,Pentecost,Sunday,16
2Cor 6:16–7:1,Pentecost,Sunday,17
2Cor 6:16–7:1,Feast of the Cross,Sunday,1
2Cor 11:31–12:9,Feast of the Cross,Sunday,2
Gal 1:11–19,Feast of the Cross,Sunday,3
Gal 2:16–20,Feast of the Cross,Sunday,4
Gal 6:11–18,Feast of the Cross,Sunday,5
Eph 2:4–10,Feast of the Cross,Sunday,6
Eph 2:4–22,Feast of the Cross,Sunday,7
Eph 4:1–6,Feast of the Cross,Sunday,8
Eph 5:9–19,Feast of the Cross,Sunday,9
Eph 6:10–17,Feast of the Cross,Sunday,10
Col 1:12–18,Feast of the Cross,Sunday,11
Col 3:12–16,Feast of the Cross,Sunday,12
Col 3:12–16,Feast of the Cross,Sunday,13
1Tim 1:15–17,Feast of the Cross,Sunday,14
1Tim 4:9–15,Feast of the Cross,Sunday,15
2Tim 3:10–15,Feast of the Cross,Sunday,16
1Cor 6:12–20,Feast of the Cross,Sunday,17
1Cor 8:8–9:2,Feast of the Cross,Sunday,Meat Fare Week
Rom 13:11–14:4,Feast of the Cross,Sunday,Cheese Fare Week
"Heb 11:24–26, 32–12:2",Lent,Sunday,1
Heb 1:10–2:3,Lent,Sunday,2
Heb 4:14–5:6,Lent,Sunday,3
Heb 6:13–20,Lent,Sunday,4
Heb 9:11–14,Lent,Sunday,5
Phil 4:4–9,Great Week,Sunday,""
